dataset,step,label,n_episodes,episode,seed,success,progress_pct,stage_reached,stage_index,failure_mode,ever_reached,ever_grasped,ever_lifted,ever_hovered,r_reach_max,r_grasp_max,r_lift_max,r_hover_max,max_staged_reward,init_gripper_to_can,min_gripper_to_can,reach_closure_frac,init_can_to_bin_xy,min_can_to_bin_xy,bin_closure_frac,max_can_height_gain,max_can_displacement,can_fell_off,steps,step_first_reach,step_first_grasp,step_first_lift,step_first_hover,step_first_success,eef_path_length,eef_net_displacement,path_efficiency,action_abs_mean,action_abs_max,action_saturation_frac,action_jerk_mean,gripper_cmd_mean,gripper_closed_frac,gripper_switches,best_shaped_reward
mh,250,k1_mh_250,30,4,100004,False,26.32,reach,1,reached_but_no_grasp,True,False,False,False,0.8775,0.0,0.0,0.0,0.8775,0.2024,0.0123,0.9392,,,,0.0,0.0164,False,150,33,,,,,0.8717,0.2457,0.2819,0.2659,1.0,0.0733,0.296,-0.0964,0.4267,48,0.39
mh,250,k1_mh_250,30,5,100005,False,5.73,none,0,never_reached_cube,False,False,False,False,0.1909,0.0,0.0,0.0,0.1909,0.2096,0.1124,0.4635,,,,0.0,0.0127,False,150,,,,,,0.8225,0.3027,0.368,0.2673,1.0,0.0638,0.3179,-0.1306,0.4467,59,0.0849
mh,250,k1_mh_250,30,6,100006,False,22.65,reach,1,reached_but_no_grasp,True,False,False,False,0.755,0.0,0.0,0.0,0.755,0.194,0.025,0.8711,,,,0.0,0.0201,False,150,26,,,,,0.7734,0.2751,0.3557,0.2631,1.0,0.0733,0.3043,-0.0383,0.5067,55,0.3356
mh,250,k1_mh_250,30,7,100007,False,15.84,reach,1,reached_but_no_grasp,True,False,False,False,0.5279,0.0,0.0,0.0,0.5279,0.2082,0.0513,0.7537,,,,0.0,0.0183,False,150,27,,,,,0.809,0.2415,0.2985,0.2679,1.0,0.08,0.2943,-0.3174,0.3267,51,0.2346
mh,250,k1_mh_250,30,8,100008,True,100.0,success,4,none_success,True,True,True,True,0.892,0.25,1.0,0.0,1.0,0.217,0.0108,0.9501,,,,0.0106,0.021,False,49,20,47,47,49,,0.3315,0.2135,0.644,0.2804,1.0,0.0787,0.2366,-0.5668,0.2041,13,1.0
mh,250,k1_mh_250,30,9,100009,False,27.74,reach,1,reached_but_no_grasp,True,False,False,False,0.9248,0.0,0.0,0.0,0.9248,0.2226,0.0075,0.9661,,,,0.0,0.0196,False,150,47,,,,,0.8292,0.2554,0.308,0.2722,1.0,0.0743,0.2922,-0.4739,0.2333,52,0.411
mh,250,k1_mh_250,30,10,100010,False,22.44,reach,1,reached_but_no_grasp,True,False,False,False,0.7481,0.0,0.0,0.0,0.7481,0.1916,0.0257,0.8656,,,,0.0,0.0127,False,150,31,,,,,0.8036,0.1927,0.2398,0.2658,1.0,0.0848,0.3138,-0.1566,0.3733,59,0.3325
mh,250,k1_mh_250,30,11,100011,False,16.12,reach,1,reached_but_no_grasp,True,False,False,False,0.5374,0.0,0.0,0.0,0.5374,0.2243,0.0501,0.7768,,,,0.0,0.0127,False,150,51,,,,,0.8499,0.2614,0.3076,0.2787,1.0,0.0933,0.3165,-0.2753,0.36,52,0.2389
mh,250,k1_mh_250,30,12,100012,False,17.1,reach,1,reached_but_no_grasp,True,False,False,False,0.57,0.0,0.0,0.0,0.57,0.2013,0.046,0.7715,,,,0.0,0.0127,False,150,28,,,,,0.8734,0.2553,0.2923,0.275,1.0,0.079,0.3145,-0.1522,0.42,61,0.2533
mh,250,k1_mh_250,30,13,100013,False,87.95,lift,3,lifted_but_below_threshold,True,True,True,False,0.9339,0.25,0.6986,0.0,0.9339,0.2152,0.0066,0.9692,,,,0.0064,0.026,False,150,32,98,98,,,0.7191,0.2153,0.2993,0.2742,1.0,0.0867,0.2838,-0.4388,0.2467,51,0.5228
